ID;Label;nationality;statut
Benoît de Flandria ;Benoît de Flandria ;Italien;OUT
D. St Etienne + J. Pathon;D. St Etienne + J. Pathon;Français;Industriel
François Berard;François Berard;Français;Docteur
Gabriele Symeoni;Gabriele Symeoni;Italien;Polygraphe
Hans Rosenberger;Hans Rosenberger;Allemand;Industriel
Iacobus Securivagus;Iacobus Securivagus;Belge;Auteur
Iohannes Bergius;Iohannes Bergius;Allemand;Médecin
Iohannes Cibo Boerius;Iohannes Cibo Boerius;Italien;Bourgeois
Iohannes Lobbetius;Iohannes Lobbetius;Allemand;Docteur
Jean Brotot;Jean Brotot;Français;Imprimeur
Jean de Chevigny;Jean de Chevigny;Français;Secrétaire
Jérôme (de) Purpurat;Jérôme (de) Purpurat;Italien;Conseiller du roi
Lorenz Tubbe;Lorenz Tubbe;Allemand;Étudiant en Droit
Nostradamus;Nostradamus;Français;Astrologue
Olrias de Cadenet;Olrias de Cadenet;Français;Médecin ?
Pierre de Forlivio;Pierre de Forlivio;Français;Religieux
Pierre Martyr;Pierre Martyr;Français;OUT
Religieux anonyme;Religieux anonyme;OUT;Religieux
S. Paul;S. Paul;Français;OUT
S.Oswald;S.Oswald;Allemand;OUT
Sigismund Woyssell;Sigismund Woyssell;Slovaque;OUT
Tr.éminents et Ill.perso.;Tr.éminents et Ill.perso.;OUT;Religieux